47.63, 29.0, 12292000, 3200600
49.44, 30.12, 11291000, 4137500
49.81, 30.06, 22040000, 4255900
48.94, 31.44, 13252000, 5099800
47.81, 32.88, 16696000, 8030500
50.75, 31.5, 17978000, 8541500
49.75, 32.75, 22962000, 6296700
49.75, 33.56, 9578000, 4675100
51.5, 33.69, 13437000, 5199000
52.88, 33.31, 13496000, 6156600
52.63, 32.56, 11383000, 7509000
53.0, 32.25, 12274000, 3564400
50.75, 31.25, 13427000, 3617100
48.06, 31.25, 26045000, 5059300
49.38, 31.69, 17009000, 3664900
50.25, 28.75, 24847000, 9183500
48.0, 28.19, 16080000, 9464000
48.75, 30.0, 15671000, 8426200
50.06, 30.69, 10076000, 5085600
50.94, 30.62, 7257000, 3369100
50.88, 32.25, 8991000, 7342300
51.25, 32.0, 9789000, 3306400
51.06, 32.25, 9314000, 2429100
50.5, 33.25, 13246000, 4006900
54.94, 36.25, 33991000, 10653200
55.69, 36.94, 28259000, 9464000
53.69, 34.69, 22926000, 5976000
53.38, 34.38, 12138000, 4250100
52.19, 34.5, 13289000, 2973500
53.94, 34.44, 15264000, 3963300
55.0, 33.44, 13903000, 5942200
53.13, 34.81, 13459000, 6436300
54.69, 35.88, 14791000, 6592800
53.81, 35.81, 13504000, 5482700
54.25, 34.56, 14146000, 5461300
54.38, 32.75, 12099000, 4245300
53.88, 34.56, 15709000, 6471900
54.88, 36.0, 11748000, 5032800
55.81, 36.31, 15735000, 3863500
55.31, 36.69, 12621000, 5119400
55.19, 36.38, 12371000, 4115000
56.2, 36.85, 9482000, 3650300
56.2, 36.5, 12102000, 3230400
55.97, 37.98, 15590000, 7961400
56.11, 37.9, 10311000, 7483200
55.46, 36.97, 8654000, 4521100
56.3, 36.35, 8960000, 3328400
55.13, 36.29, 8928000, 3878400
54.36, 36.69, 10119000, 3093100
54.1, 35.36, 9720000, 5310400
54.05, 33.95, 11294000, 4632400
55.45, 36.15, 7888000, 6889000
54.59, 36.83, 10859000, 3284700
53.65, 36.61, 10770000, 3200200
54.07, 36.5, 9815000, 2965900
54.0, 35.72, 11204000, 3510500
51.2, 37.25, 13622000, 5313900
48.3, 34.8, 18353000, 3525400
48.6, 35.8, 21919000, 5262400
48.2, 35.74, 17729000, 4890400
50.3, 37.8, 13395000, 4013900
49.8, 38.37, 16295000, 6375500
49.18, 39.0, 14697000, 6821600
48.65, 37.29, 14471000, 4942800
48.0, 36.95, 13986000, 4605100
48.25, 36.4, 12011000, 4319700
48.63, 38.0, 12199000, 8418900
50.45, 38.3, 10008000, 7579200
50.75, 38.0, 11091000, 7917900
49.13, 37.6, 10903000, 3578200
47.1, 36.51, 17821000, 3816600
48.39, 35.65, 19902000, 5818400
44.9, 35.5, 25351000, 4887700
46.4, 35.57, 17662000, 3601900
45.5, 34.93, 20237000, 4975100
46.3, 35.6, 13081000, 2937500
44.3, 35.75, 16962000, 4562000
42.25, 36.87, 21091000, 4633000
